Date,Fund_Ticker,Risk_Total_Score,Risk_Volatility,Risk_Deviation,Risk_Country,Risk_Structure,Risk_Liquidity,Risk_Efficiency,Reward_Score,Quant_Total_Score,Quant_Technical_ShortTerm,Quant_Technical_Intermediate,Quant_Technical_Long,Quant_CompositeTechnical,Quant_Sentiment_P_C,Quant_Sentiment_ShortInterest,Quant_Sentiment_ImpliedVol,Quant_CompositeSentiment,Quant_CompositeBehavioral,Quant_Fundamental_P_E,Quant_Fundamental_P_CF,Quant_Fundamental_P_B,Quant_Fundamental_Div,Quant_CompositeFundamental,Quant_Global_Sector,Quant_Global_Country,Quant_CompositeGlobal,Quant_Quality_Liquidity,Quant_Quality_Diversification,Quant_Quality_Firm,Quant_Composite_Quality,Quant_Grade
20180418,AMLP,6.21,7.19,4.14,8.29,4.05,2.87,7.79,8.62013,63.8,40.5,43.2,21.1,31.6,80.2,90.9,89.6,86.7,59.15,97.5,59,97.5,62.1,79,5.7,17.1,11.4,92.6,55.2,73.7,73.8,B
20180418,DIA,4,5.92,7.19,1.54,3.57,2.52,1.65,4.57687,49.6,52.2,63,69.6,64.1,83.5,84.2,72.5,79.9,72,1.9,0,0.8,51.9,13.7,46.5,84.6,65.5,99.5,65.5,98.3,87.8,C
20180418,EFA,4.15,5.49,6.72,2.47,2.82,2.57,4.13,5.48651,52.8,80.6,76.9,70.3,74.4,89,26.7,26.3,48.4,61.4,0.8,58.5,41.2,44,36.1,39,75.3,57.1,98.6,43.7,99,80.4,C
20180418,EWJ,3.57,3.56,7.04,1.05,2.96,2.62,4.93,6.63897,59.7,50,34.1,36.2,38.3,98,94.2,34.9,74.8,56.55,39.1,48.4,40.6,95.5,55.9,42.5,89.5,66,97.7,47.9,99,81.5,B
20180418,IWM,4.13,5.27,7.75,3.96,3.08,2.52,1.8,4.4227,46.3,70.6,74,71.7,72.2,76.8,14,61.5,52.6,62.4,0,44.2,4.2,36.6,21.3,29.4,60.4,44.9,99.7,51.3,99,83.3,C
20180418,LABU,8.04,4.59,9.72,5,5.52,5,7.16,0,,,,,,,,,,,,,,,,,,,,,,,
20180418,SPLV,2.63,3.84,3.42,2.29,4.57,2.7,3.48,2.18715,37.4,65.5,69.8,65.6,66.8,0,20.4,41,20.4,43.6,0,0,0,44.3,11.1,43.3,77.1,60.2,95.9,93.5,96.3,95.2,D
20180418,SPY,3.86,5.95,7.27,2.36,2.74,2.5,1.84,4.61542,48.2,64,65.2,68.1,66.4,88.2,87.4,66.1,80.2,73.3,0.8,0,1.9,48.8,12.9,38.9,76.4,57.6,100,40.6,98.3,79.6,C
20180418,TLT,4.96,5.8,5.88,5,3.03,5,3.82,0,,,,,,,,,,,,,,,,,,,,,,,
20180418,TVIX,8.85,6.97,9.44,5,5.17,5,7.43,0,,,,,,,,,,,,,,,,,,,,,,,
20180418,UCO,9.1,7.24,9.31,5,4.73,5,8.77,0,,,,,,,,,,,,,,,,,,,,,,,
20180418,VWO,4.09,5.49,6.28,5.32,2.02,2.63,4.31,5.40171,49.2,50,58.2,65.5,60.2,63.5,79.1,54.4,65,62.6,3.8,57.3,39.6,34.4,33.8,26.4,46.8,36.6,97.4,17.3,96.7,70.5,C
20180418,XLI,3.19,5.2,5.89,2.27,3.07,2.54,2.15,4.67323,50.7,71.6,67.9,68,68.7,93,90.9,63.3,82,75.35,4.5,0,0,41.9,11.6,75.2,77.3,76.2,99.1,50.5,98.3,82.6,C
