public_date,FFI48_desc,NFIRM,indret_ew,indret_vw,dpr_Median,bm_Median,pe_exi_Median,gpm_Median,roe_Median,totdebt_invcap_Median,rd_sale_Median,adv_sale_Median
20100131,AERO,19,0.007054,0.008890,0.067,0.590,14.907,0.288,0.099,0.344,0.029,0.000
20100131,AGRIC,10,-0.013004,-0.066223,0.116,0.590,7.321,0.200,0.091,0.337,0.000,0.000
20100131,AUTOS,53,0.021639,0.009634,0.234,0.719,-1.683,0.191,-0.114,0.435,0.026,0.000
20100131,BANKS,566,0.076270,0.013760,0.618,1.322,3.838,0.482,0.011,0.739,0.000,0.010
20100131,BEER,9,-0.033633,-0.037421,0.319,0.618,7.756,0.532,0.087,0.290,0.000,0.071
20100131,BLDMT,54,-0.014479,-0.028048,0.270,0.773,-0.196,0.277,-0.010,0.285,0.004,0.000
20100131,BOOKS,24,0.047697,0.038373,0.389,0.753,-0.798,0.523,-0.075,0.467,0.000,0.006
20100131,BOXES,10,-0.092415,-0.096534,0.108,0.487,12.828,0.218,0.180,0.692,0.003,0.000
20100131,BUSSV,410,-0.014812,-0.069067,0.000,0.492,10.118,0.518,0.031,0.089,0.007,0.000
20100131,CHEMS,75,-0.000769,-0.042684,0.158,0.570,9.279,0.333,0.064,0.431,0.014,0.000
20100131,CHIPS,241,-0.041218,-0.093803,0.000,0.640,-2.071,0.389,-0.100,0.069,0.118,0.000
20100131,CLTHS,47,0.001051,-0.032405,0.000,0.623,9.446,0.435,0.075,0.071,0.000,0.025
20100131,CNSTR,44,-0.019773,-0.001148,0.000,0.698,-0.450,0.152,-0.064,0.295,0.000,0.000
20100131,COAL,13,-0.082533,-0.075159,0.105,0.495,14.844,0.217,0.101,0.481,0.000,0.000
20100131,COMPS,140,-0.038668,-0.077098,0.000,0.481,12.174,0.539,0.016,0.057,0.117,0.001
20100131,DRUGS,286,0.010340,0.005532,0.000,0.257,-5.335,0.312,-0.375,0.062,0.409,0.000
20100131,ELCEQ,65,-0.050405,-0.055496,0.000,0.634,-0.564,0.319,0.022,0.195,0.031,0.000
20100131,FABPR,9,-0.102570,-0.093314,0.064,0.698,13.016,0.360,0.088,0.084,0.009,0.000
20100131,FIN,112,-0.019354,-0.078731,0.219,0.528,9.674,0.289,0.037,0.311,0.000,0.000
20100131,FOOD,61,-0.007664,0.005239,0.002,0.538,14.355,0.310,0.117,0.410,0.000,0.005
20100131,FUN,48,0.004653,0.035960,0.000,0.818,-1.067,0.357,-0.060,0.471,0.000,0.013
20100131,GOLD,5,-0.133676,-0.112848,0.000,0.517,-35.077,0.451,-0.001,0.113,0.000,0.000
20100131,GUNS,8,0.075478,-0.017587,0.000,0.535,8.666,0.224,0.197,0.269,0.017,0.000
20100131,HLTH,76,-0.021291,-0.037987,0.000,0.583,12.172,0.303,0.102,0.319,0.000,0.000
20100131,HSHLD,49,0.019513,0.007645,0.229,0.652,9.406,0.453,0.036,0.356,0.008,0.018
20100131,INSUR,125,-0.013371,0.006301,0.147,1.097,8.578,0.125,0.077,0.235,0.000,0.000
20100131,LABEQ,80,-0.011485,-0.054609,0.000,0.602,-1.044,0.454,-0.021,0.106,0.113,0.000
20100131,MACH,108,-0.050437,-0.066082,0.098,0.612,4.184,0.330,0.018,0.237,0.018,0.000
20100131,MEALS,67,0.036872,-0.010300,0.000,0.561,10.671,0.202,0.057,0.448,0.000,0.023
20100131,MEDEQ,124,-0.018512,-0.002586,0.000,0.455,-1.777,0.593,-0.007,0.168,0.093,0.000
20100131,MINES,19,-0.043134,-0.163825,0.261,0.396,-4.182,0.313,-0.103,0.329,0.000,0.000
20100131,OIL,151,-0.022802,-0.047413,0.000,0.744,-2.093,0.257,-0.105,0.349,0.000,0.000
20100131,OTHER,22,0.007129,-0.044970,0.000,0.591,12.624,0.322,0.005,0.513,0.000,0.000
20100131,PAPER,37,-0.044765,-0.055384,0.376,0.799,2.886,0.270,0.039,0.462,0.007,0.000
20100131,PERSV,50,-0.044715,-0.042378,0.000,0.610,14.952,0.470,0.068,0.359,0.000,0.006
20100131,RLEST,23,-0.023075,-0.047201,0.000,1.079,-2.557,0.357,-0.059,0.356,0.000,0.000
20100131,RTAIL,177,-0.028368,-0.019526,0.000,0.630,12.246,0.331,0.057,0.251,0.000,0.016
20100131,RUBBR,19,-0.051304,-0.076851,0.024,0.619,8.931,0.326,0.028,0.394,0.015,0.000
20100131,SHIPS,9,-0.078832,-0.091238,0.147,0.739,7.575,0.151,0.039,0.368,0.004,0.000
20100131,SMOKE,6,-0.016122,-0.032658,0.841,0.081,8.719,0.539,0.290,0.685,0.012,0.014
20100131,SODA,10,0.002161,-0.013599,0.122,0.558,4.465,0.457,0.094,0.567,0.000,0.014
20100131,STEEL,44,-0.073601,-0.124462,0.142,0.724,-4.254,0.144,-0.051,0.276,0.000,0.000
20100131,TELCM,101,-0.037980,-0.068977,0.000,0.584,-1.103,0.566,-0.050,0.580,0.000,0.007
20100131,TOYS,25,0.020905,-0.022268,0.000,0.782,-1.832,0.385,-0.119,0.209,0.036,0.018
20100131,TRANS,89,-0.065782,-0.043096,0.037,0.764,6.893,0.214,0.030,0.430,0.000,0.000
