gvkey,adate,qdate,public_date,roe,debt_ebitda,DIVYIELD
8479,20081231,20090930,20100131,0.376,0.917,3.02%
8479,20091231,20091231,20100228,0.4,0.819,2.88%
8479,20091231,20091231,20100331,0.4,0.819,2.72%
8479,20091231,20091231,20100430,0.4,0.819,2.76%
8479,20091231,20100331,20100531,0.418,1.166,2.86%
8479,20091231,20100331,20100630,0.418,1.166,3.15%
8479,20091231,20100331,20100731,0.418,1.166,2.96%
8479,20091231,20100630,20100831,0.337,1.45,2.99%
8479,20091231,20100630,20100930,0.337,1.45,2.89%
8479,20091231,20100630,20101031,0.337,1.45,2.94%
8479,20091231,20100930,20101130,0.308,1.694,2.97%
8479,20091231,20100930,20101231,0.308,1.694,2.94%
8479,20091231,20100930,20110131,0.308,1.694,2.99%
8479,20101231,20101231,20110228,0.296,2.057,3.03%
8479,20101231,20101231,20110331,0.296,2.057,2.98%
8479,20101231,20101231,20110430,0.296,2.057,2.79%
8479,20101231,20110331,20110531,0.244,2.026,2.70%
8479,20101231,20110331,20110630,0.244,2.026,2.92%
8479,20101231,20110331,20110731,0.244,2.026,3.22%
8479,20101231,20110630,20110831,0.252,2.059,3.20%
8479,20101231,20110630,20110930,0.252,2.059,3.33%
8479,20101231,20110630,20111031,0.252,2.059,3.27%
8479,20101231,20110930,20111130,0.243,2.087,3.22%
8479,20101231,20110930,20111231,0.243,2.087,3.10%
8479,20101231,20110930,20120131,0.243,2.087,3.14%
8479,20111231,20111231,20120229,0.254,2.062,3.27%
8479,20111231,20111231,20120331,0.254,2.062,3.10%
8479,20111231,20111231,20120430,0.254,2.062,3.12%
8479,20111231,20120331,20120531,0.232,2.076,3.17%
8479,20111231,20120331,20120630,0.232,2.076,3.04%
8479,20111231,20120331,20120731,0.232,2.076,2.96%
8479,20111231,20120630,20120831,0.216,2.134,2.97%
8479,20111231,20120630,20120930,0.216,2.134,3.04%
8479,20111231,20120630,20121031,0.216,2.134,3.11%
8479,20111231,20120930,20121130,0.22,2.172,3.06%
8479,20111231,20120930,20121231,0.22,2.172,3.14%
8479,20111231,20120930,20130131,0.22,2.172,2.95%
8479,20121231,20121231,20130228,0.234,2.291,2.84%
