gvkey,adate,qdate,public_date,bm,evm
1690,20090930,20090930,20100131,0.203,13.424
1690,20090930,20091231,20100228,0.202,10.239
1690,20090930,20091231,20100331,0.202,10.239
1690,20090930,20091231,20100430,0.202,10.239
1690,20090930,20100331,20100531,0.199,11.041
1690,20090930,20100331,20100630,0.199,11.041
1690,20090930,20100331,20100731,0.199,11.041
1690,20090930,20100630,20100831,0.204,11.432
1690,20090930,20100630,20100930,0.204,11.432
1690,20090930,20100630,20101031,0.204,11.432
1690,20100930,20100930,20101130,0.2,13.455
1690,20100930,20100930,20101231,0.2,13.455
1690,20100930,20100930,20110131,0.2,13.455
1690,20100930,20101231,20110228,0.202,11.038
1690,20100930,20101231,20110331,0.202,11.038
1690,20100930,20101231,20110430,0.202,11.038
1690,20100930,20110331,20110531,0.21,10.355
1690,20100930,20110331,20110630,0.21,10.355
1690,20100930,20110331,20110731,0.21,10.355
1690,20100930,20110630,20110831,0.246,9.263
1690,20100930,20110630,20110930,0.246,9.263
1690,20100930,20110630,20111031,0.246,9.263
1690,20110930,20110930,20111130,0.239,9.95
1690,20110930,20110930,20111231,0.239,9.95
1690,20110930,20110930,20120131,0.239,9.95
1690,20110930,20111231,20120229,0.264,7.505
1690,20110930,20111231,20120331,0.264,7.505
1690,20110930,20111231,20120430,0.264,7.505
1690,20110930,20120331,20120531,0.204,7.522
1690,20110930,20120331,20120630,0.204,7.522
1690,20110930,20120331,20120731,0.204,7.522
1690,20110930,20120630,20120831,0.228,8.236
1690,20110930,20120630,20120930,0.228,8.236
1690,20110930,20120630,20121031,0.228,8.236
1690,20120930,20120930,20121130,0.211,10.72
1690,20120930,20120930,20121231,0.211,10.72
1690,20120930,20120930,20130131,0.211,10.72
1690,20120930,20121231,20130228,0.286,9.426
1690,20120930,20121231,20130331,0.286,9.426
1690,20120930,20121231,20130430,0.286,9.426
1690,20120930,20130331,20130531,0.365,9.105
1690,20120930,20130331,20130630,0.365,9.105
1690,20120930,20130331,20130731,0.365,9.105
1690,20120930,20130630,20130831,0.387,8.59
1690,20120930,20130630,20130930,0.387,8.59
1690,20120930,20130630,20131031,0.387,8.59
1690,20130930,20130930,20131130,0.327,7.993
1690,20130930,20130930,20131231,0.327,7.993
8479,20081231,20090930,20100131,0.172,10.062
8479,20091231,20091231,20100228,0.183,10.725
8479,20091231,20091231,20100331,0.183,10.725
8479,20091231,20091231,20100430,0.183,10.725
8479,20091231,20100331,20100531,0.24,10.725
8479,20091231,20100331,20100630,0.24,10.725
8479,20091231,20100331,20100731,0.24,10.725
8479,20091231,20100630,20100831,0.246,10.629
8479,20091231,20100630,20100930,0.246,10.629
8479,20091231,20100630,20101031,0.246,10.629
